City: De Land, IL, X-Axis: 40.1216, Y-Axis: 88.6451
City: Oakland, IL, X-Axis: 39.6568, Y-Axis: 88.0254
City: Covington, IN, X-Axis: 40.1405, Y-Axis: 87.3931
City: Sheldon, IL, X-Axis: 40.7709, Y-Axis: 87.5648
City: Fairbury, IL, X-Axis: 40.7461, Y-Axis: 88.5141
City: Cayuga, IN, X-Axis: 39.9471, Y-Axis: 87.4649
City: Kempton, IL, X-Axis: 40.9354, Y-Axis: 88.2374
City: Atwood, IL, X-Axis: 39.8004, Y-Axis: 88.4629
City: Bement, IL, X-Axis: 39.9217, Y-Axis: 88.5729
City: Boswell, IN, X-Axis: 40.5184, Y-Axis: 87.3814
City: Martinton, IL, X-Axis: 40.9153, Y-Axis: 87.7263
City: Iroquois, IL, X-Axis: 40.8279, Y-Axis: 87.5836
City: Redmon, IL, X-Axis: 39.6452, Y-Axis: 87.8624
City: Arcola, IL, X-Axis: 39.6835, Y-Axis: 88.3058
City: Saunemin, IL, X-Axis: 40.8929, Y-Axis: 88.4065
City: Chebanse, IL, X-Axis: 41.0016, Y-Axis: 87.9109
City: Donovan, IL, X-Axis: 40.884, Y-Axis: 87.6157
City: Ellsworth, IL, X-Axis: 40.4495, Y-Axis: 88.7166
City: Cabery, IL, X-Axis: 40.9947, Y-Axis: 88.205
City: Earl Park, IN, X-Axis: 40.6844, Y-Axis: 87.4159
City: Dana, IN, X-Axis: 39.8067, Y-Axis: 87.4943
City: Papineau, IL, X-Axis: 40.9677, Y-Axis: 87.716
City: Williamsport, IN, X-Axis: 40.2868, Y-Axis: 87.292
City: Cooksville, IL, X-Axis: 40.5423, Y-Axis: 88.7163
City: Kentland, IN, X-Axis: 40.7697, Y-Axis: 87.4462
City: Le Roy, IL, X-Axis: 40.3472, Y-Axis: 88.7623
City: Arthur, IL, X-Axis: 39.7153, Y-Axis: 88.4701
City: Emington, IL, X-Axis: 40.9701, Y-Axis: 88.3574
City: Beaverville, IL, X-Axis: 40.9546, Y-Axis: 87.654
City: Newport, IN, X-Axis: 39.8849, Y-Axis: 87.4063
City: Irwin, IL, X-Axis: 41.0528, Y-Axis: 87.9855
City: Herscher, IL, X-Axis: 41.0507, Y-Axis: 88.0954
City: Weldon, IL, X-Axis: 40.1207, Y-Axis: 88.7506
City: Buckingham, IL, X-Axis: 41.0463, Y-Axis: 88.1736
City: Kansas, IL, X-Axis: 39.5536, Y-Axis: 87.9384
City: Cisco, IL, X-Axis: 40.0118, Y-Axis: 88.7258
City: Humboldt, IL, X-Axis: 39.6041, Y-Axis: 88.3197
City: Hammond, IL, X-Axis: 39.7971, Y-Axis: 88.5928
City: Paris, IL, X-Axis: 39.613, Y-Axis: 87.6938
City: Fowler, IN, X-Axis: 40.6182, Y-Axis: 87.3191
City: Campus, IL, X-Axis: 41.0237, Y-Axis: 88.3065
City: De Witt, IL, X-Axis: 40.1838, Y-Axis: 88.786
City: Attica, IN, X-Axis: 40.2902, Y-Axis: 87.247
City: Ashmore, IL, X-Axis: 39.5302, Y-Axis: 88.0219
City: St. Anne, IL, X-Axis: 41.0234, Y-Axis: 87.7171
City: Pine Village, IN, X-Axis: 40.45, Y-Axis: 87.2538
City: Veedersburg, IN, X-Axis: 40.1139, Y-Axis: 87.2603
City: Oxford, IN, X-Axis: 40.5214, Y-Axis: 87.2498
City: Aroma Park, IL, X-Axis: 41.079, Y-Axis: 87.8054
City: Union Hill, IL, X-Axis: 41.108, Y-Axis: 88.1473
City: Kingman, IN, X-Axis: 39.9671, Y-Axis: 87.2786
City: Reddick, IL, X-Axis: 41.0974, Y-Axis: 88.2488
City: Chenoa, IL, X-Axis: 40.7431, Y-Axis: 88.7201
City: Cerro Gordo, IL, X-Axis: 39.891, Y-Axis: 88.7334
City: Kankakee, IL, X-Axis: 41.117, Y-Axis: 87.8639
City: Montezuma, IN, X-Axis: 39.7922, Y-Axis: 87.3703
City: Charleston, IL, X-Axis: 39.4887, Y-Axis: 88.179
City: Lexington, IL, X-Axis: 40.6425, Y-Axis: 88.7854
City: Pontiac, IL, X-Axis: 40.88, Y-Axis: 88.6304
City: Bonfield, IL, X-Axis: 41.1472, Y-Axis: 88.0582
City: Vermilion, IL, X-Axis: 39.5803, Y-Axis: 87.5885
City: Westfield, IL, X-Axis: 39.4556, Y-Axis: 87.9969
City: Lovington, IL, X-Axis: 39.7139, Y-Axis: 88.6347
City: Morocco, IN, X-Axis: 40.9457, Y-Axis: 87.4542
City: Bradley, IL, X-Axis: 41.1463, Y-Axis: 87.8591
City: Odell, IL, X-Axis: 41.0036, Y-Axis: 88.5221
City: Goodland, IN, X-Axis: 40.7644, Y-Axis: 87.295
City: Brook, IN, X-Axis: 40.866, Y-Axis: 87.3658
City: Argenta, IL, X-Axis: 39.984, Y-Axis: 88.8211
City: Downs, IL, X-Axis: 40.3972, Y-Axis: 88.8798
City: Sun River Terrace, IL, X-Axis: 41.1265, Y-Axis: 87.7346
City: Bourbonnais, IL, X-Axis: 41.165, Y-Axis: 87.8785
City: Hopkins Park, IL, X-Axis: 41.0725, Y-Axis: 87.6051
City: Fairview Park, IN, X-Axis: 39.6818, Y-Axis: 87.4136
City: Newtown, IN, X-Axis: 40.2048, Y-Axis: 87.1491
City: Dwight, IL, X-Axis: 41.093, Y-Axis: 88.4273
City: Hillsboro, IN, X-Axis: 40.1086, Y-Axis: 87.1591
City: Mellott, IN, X-Axis: 40.1639, Y-Axis: 87.148
City: Essex, IL, X-Axis: 41.1776, Y-Axis: 88.1913
City: Universal, IN, X-Axis: 39.6216, Y-Axis: 87.453
City: Clinton, IN, X-Axis: 39.6599, Y-Axis: 87.4059
City: East Brooklyn, IL, X-Axis: 41.1725, Y-Axis: 88.2657
City: Mattoon, IL, X-Axis: 39.4789, Y-Axis: 88.3731
City: Mecca, IN, X-Axis: 39.7263, Y-Axis: 87.3315
City: South Wilmington, IL, X-Axis: 41.1733, Y-Axis: 88.2763
City: Bloomingdale, IN, X-Axis: 39.8316, Y-Axis: 87.2495
City: Allenville, IL, X-Axis: 39.5568, Y-Axis: 88.5333
City: Towanda, IL, X-Axis: 40.5644, Y-Axis: 88.899
City: Sullivan, IL, X-Axis: 39.5983, Y-Axis: 88.61
City: Oreana, IL, X-Axis: 39.938, Y-Axis: 88.8693
City: Gardner, IL, X-Axis: 41.1879, Y-Axis: 88.3095
City: Lerna, IL, X-Axis: 39.4179, Y-Axis: 88.289
City: Momence, IL, X-Axis: 41.1636, Y-Axis: 87.6621
City: Wallace, IN, X-Axis: 39.9873, Y-Axis: 87.148
City: Otterbein, IN, X-Axis: 40.4889, Y-Axis: 87.0954
City: Wapella, IL, X-Axis: 40.2213, Y-Axis: 88.9627
City: Clinton, IL, X-Axis: 40.1522, Y-Axis: 88.9592
City: Braceville, IL, X-Axis: 41.2263, Y-Axis: 88.2651
City: Marshall, IN, X-Axis: 39.8468, Y-Axis: 87.1872
City: Heyworth, IL, X-Axis: 40.3147, Y-Axis: 88.9779
City: Godley, IL, X-Axis: 41.2373, Y-Axis: 88.2447
City: Wingate, IN, X-Axis: 40.1729, Y-Axis: 87.0736
City: Rockville, IN, X-Axis: 39.7652, Y-Axis: 87.2288
City: Manteno, IL, X-Axis: 41.2501, Y-Axis: 87.8383
City: Gridley, IL, X-Axis: 40.7427, Y-Axis: 88.8804
City: Lakewood Shores, IL, X-Axis: 41.2674, Y-Axis: 88.1358
City: Mount Ayr, IN, X-Axis: 40.9526, Y-Axis: 87.2984
City: Marshall, IL, X-Axis: 39.3928, Y-Axis: 87.6936
City: Maroa, IL, X-Axis: 40.037, Y-Axis: 88.955
City: Gays, IL, X-Axis: 39.4588, Y-Axis: 88.4964
