City: Momence, IL, X-Axis: 41.1636, Y-Axis: 87.6621
City: Wallace, IN, X-Axis: 39.9873, Y-Axis: 87.148
City: Otterbein, IN, X-Axis: 40.4889, Y-Axis: 87.0954
City: Marshall, IN, X-Axis: 39.8468, Y-Axis: 87.1872
City: Wingate, IN, X-Axis: 40.1729, Y-Axis: 87.0736
City: Rockville, IN, X-Axis: 39.7652, Y-Axis: 87.2288
City: Manteno, IL, X-Axis: 41.2501, Y-Axis: 87.8383
City: Mount Ayr, IN, X-Axis: 40.9526, Y-Axis: 87.2984
City: Marshall, IL, X-Axis: 39.3928, Y-Axis: 87.6936
City: Martinsville, IL, X-Axis: 39.3384, Y-Axis: 87.8819
City: Waynetown, IN, X-Axis: 40.0876, Y-Axis: 87.0656
City: Remington, IN, X-Axis: 40.7627, Y-Axis: 87.1517
City: Grant Park, IL, X-Axis: 41.2407, Y-Axis: 87.6458
City: Lake Village, IN, X-Axis: 41.136, Y-Axis: 87.4495
City: Casey, IL, X-Axis: 39.2995, Y-Axis: 87.9901
City: Rosedale, IN, X-Axis: 39.6232, Y-Axis: 87.281
City: North Terre Haute, IN, X-Axis: 39.5317, Y-Axis: 87.3618
City: Alamo, IN, X-Axis: 39.9837, Y-Axis: 87.0551
City: West Terre Haute, IN, X-Axis: 39.4636, Y-Axis: 87.449
City: Peotone, IL, X-Axis: 41.3294, Y-Axis: 87.7951
City: Terre Haute, IN, X-Axis: 39.4696, Y-Axis: 87.3898
City: New Richmond, IN, X-Axis: 40.1949, Y-Axis: 86.9785
City: Schneider, IN, X-Axis: 41.1884, Y-Axis: 87.4484
City: Collegeville, IN, X-Axis: 40.9146, Y-Axis: 87.1581
City: Waveland, IN, X-Axis: 39.8783, Y-Axis: 87.0429
City: Rensselaer, IN, X-Axis: 40.9381, Y-Axis: 87.1513
City: Shadeland, IN, X-Axis: 40.3654, Y-Axis: 86.9449
City: Wolcott, IN, X-Axis: 40.7589, Y-Axis: 87.0421
City: Seelyville, IN, X-Axis: 39.4922, Y-Axis: 87.2665
City: Beecher, IL, X-Axis: 41.3452, Y-Axis: 87.6255
City: Manhattan, IL, X-Axis: 41.422, Y-Axis: 87.981
City: West Lafayette, IN, X-Axis: 40.4419, Y-Axis: 86.9124
City: Roselawn, IN, X-Axis: 41.1546, Y-Axis: 87.2887
