City: Lerna, IL, X-Axis: 39.4179, Y-Axis: 88.289
City: Wapella, IL, X-Axis: 40.2213, Y-Axis: 88.9627
City: Clinton, IL, X-Axis: 40.1522, Y-Axis: 88.9592
City: Braceville, IL, X-Axis: 41.2263, Y-Axis: 88.2651
City: Heyworth, IL, X-Axis: 40.3147, Y-Axis: 88.9779
City: Godley, IL, X-Axis: 41.2373, Y-Axis: 88.2447
City: Gridley, IL, X-Axis: 40.7427, Y-Axis: 88.8804
City: Lakewood Shores, IL, X-Axis: 41.2674, Y-Axis: 88.1358
City: Maroa, IL, X-Axis: 40.037, Y-Axis: 88.955
City: Gays, IL, X-Axis: 39.4588, Y-Axis: 88.4964
City: Long Creek, IL, X-Axis: 39.8089, Y-Axis: 88.8565
City: Bethany, IL, X-Axis: 39.6447, Y-Axis: 88.7391
City: Bloomington, IL, X-Axis: 40.4776, Y-Axis: 88.9835
City: Dalton City, IL, X-Axis: 39.7135, Y-Axis: 88.8056
City: Cornell, IL, X-Axis: 40.9908, Y-Axis: 88.7298
City: Braidwood, IL, X-Axis: 41.272, Y-Axis: 88.2182
City: Normal, IL, X-Axis: 40.5122, Y-Axis: 88.9887
City: Mount Zion, IL, X-Axis: 39.778, Y-Axis: 88.8786
City: Diamond, IL, X-Axis: 41.2877, Y-Axis: 88.2538
City: Hudson, IL, X-Axis: 40.6057, Y-Axis: 88.9871
City: Forsyth, IL, X-Axis: 39.9258, Y-Axis: 88.9593
City: Flanagan, IL, X-Axis: 40.8774, Y-Axis: 88.8589
City: Coal City, IL, X-Axis: 41.2863, Y-Axis: 88.2826
City: Mazon, IL, X-Axis: 41.2396, Y-Axis: 88.4249
City: Symerton, IL, X-Axis: 41.3281, Y-Axis: 88.0546
City: Carbon Hill, IL, X-Axis: 41.2963, Y-Axis: 88.2995
City: Verona, IL, X-Axis: 41.2155, Y-Axis: 88.5026
City: Decatur, IL, X-Axis: 39.8516, Y-Axis: 88.9442
City: Kinsman, IL, X-Axis: 41.1906, Y-Axis: 88.5698
City: Kappa, IL, X-Axis: 40.6764, Y-Axis: 89.0093
City: Ransom, IL, X-Axis: 41.156, Y-Axis: 88.6532
City: Toledo, IL, X-Axis: 39.2721, Y-Axis: 88.2428
City: Greenup, IL, X-Axis: 39.2473, Y-Axis: 88.1621
City: Findlay, IL, X-Axis: 39.5211, Y-Axis: 88.7544
City: Neoga, IL, X-Axis: 39.3218, Y-Axis: 88.4521
City: El Paso, IL, X-Axis: 40.7388, Y-Axis: 89.016
City: Kenney, IL, X-Axis: 40.0992, Y-Axis: 89.0862
City: Waynesville, IL, X-Axis: 40.2417, Y-Axis: 89.1251
City: Warrensburg, IL, X-Axis: 39.9311, Y-Axis: 89.0613
City: Panola, IL, X-Axis: 40.7851, Y-Axis: 89.0209
City: Elwood, IL, X-Axis: 41.4136, Y-Axis: 88.1104
City: Long Point, IL, X-Axis: 41.0047, Y-Axis: 88.8937
City: Jewett, IL, X-Axis: 39.2085, Y-Axis: 88.2452
City: Strasburg, IL, X-Axis: 39.3515, Y-Axis: 88.6194
City: Morris, IL, X-Axis: 41.3647, Y-Axis: 88.4261
City: Dana, IL, X-Axis: 40.9571, Y-Axis: 88.9499
City: Carlock, IL, X-Axis: 40.582, Y-Axis: 89.1326
City: Harristown, IL, X-Axis: 39.8427, Y-Axis: 89.0695
City: Macon, IL, X-Axis: 39.7091, Y-Axis: 89.0004
City: Channahon, IL, X-Axis: 41.4382, Y-Axis: 88.2165
